
==================================================
========== FP-Tree 算法完整结果 ==========

Level 0 (频繁1项集):
总计: 2117 个频繁1项集
  [0]: 支持计数=177
  [38, 48, 504]: 支持计数=98
  [38, 48, 533]: 支持计数=170
  [38, 48, 548]: 支持计数=141
  [38, 48, 570]: 支持计数=99
  [38, 48, 589]: 支持计数=93
  [38, 48, 592]: 支持计数=137
  [38, 48, 604]: 支持计数=127
  [38, 48, 649]: 支持计数=103
  [38, 48, 664]: 支持计数=97
  [38, 48, 677]: 支持计数=111
  [38, 48, 740]: 支持计数=99
  [38, 48, 783]: 支持计数=104
  [38, 48, 790]: 支持计数=307
  [38, 48, 806]: 支持计数=117
  [38, 48, 824]: 支持计数=116
  [38, 48, 840]: 支持计数=202
  [38, 48, 956]: 支持计数=110
  [38, 48, 1004]: 支持计数=103
  [38, 48, 1135]: 支持计数=129
  [38, 48, 1146]: 支持计数=181
  [38, 48, 1188]: 支持计数=125
  [38, 48, 1327]: 支持计数=198
  [38, 48, 1344]: 支持计数=108
  [38, 48, 1393]: 支持计数=137
  [38, 48, 1529]: 支持计数=125
  [38, 48, 1578]: 支持计数=96
  [38, 48, 1590]: 支持计数=120
  [38, 48, 1727]: 支持计数=90
  [38, 48, 1814]: 支持计数=95
  [38, 48, 1831]: 支持计数=117
  [38, 48, 2238]: 支持计数=247
  [38, 48, 2805]: 支持计数=107
  [38, 48, 2958]: 支持计数=163
  [38, 48, 3005]: 支持计数=89
  [38, 48, 3270]: 支持计数=129
  [38, 48, 3904]: 支持计数=193
  [38, 48, 12925]: 支持计数=175
  [38, 48, 12929]: 支持计数=94
  [38, 48, 13041]: 支持计数=110
  [38, 48, 14098]: 支持计数=110
  [38, 48, 15832]: 支持计数=99
  [38, 48, 16010]: 支持计数=130
  [38, 48, 16217]: 支持计数=116
  [38, 65, 170]: 支持计数=110
  [38, 89, 110]: 支持计数=106
  [38, 89, 170]: 支持计数=169
  [38, 110, 170]: 支持计数=158
  [38, 110, 225]: 支持计数=102
  [38, 110, 237]: 支持计数=94
  [38, 170, 225]: 支持计数=129
  [38, 170, 237]: 支持计数=152
  [38, 170, 310]: 支持计数=100
  [38, 170, 438]: 支持计数=103
  [38, 270, 271]: 支持计数=149
  [38, 16010, 16011]: 支持计数=111
  [39, 41, 45]: 支持计数=131
  [39, 41, 48]: 支持计数=7366
  [39, 41, 49]: 支持计数=172
  [39, 41, 52]: 支持计数=90
  [39, 41, 53]: 支持计数=105
  [39, 41, 55]: 支持计数=145
  [39, 41, 56]: 支持计数=95
  [39, 41, 60]: 支持计数=219
  [39, 41, 65]: 支持计数=792
  [39, 41, 76]: 支持计数=172
  [39, 41, 78]: 支持计数=164
  [39, 41, 79]: 支持计数=378
  [39, 41, 89]: 支持计数=619
  [39, 41, 94]: 支持计数=114
  [39, 41, 101]: 支持计数=368
  [39, 41, 103]: 支持计数=130
  [39, 41, 105]: 支持计数=120
  [39, 41, 107]: 支持计数=140
  [39, 41, 110]: 支持计数=515
  [39, 41, 117]: 支持计数=189
  [39, 41, 123]: 支持计数=168
  [39, 41, 136]: 支持计数=97
  [39, 41, 147]: 支持计数=336
  [39, 41, 150]: 支持计数=97
  [39, 41, 156]: 支持计数=125
  [39, 41, 161]: 支持计数=168
  [39, 41, 170]: 支持计数=624
  [39, 41, 175]: 支持计数=239
  [39, 41, 179]: 支持计数=184
  [39, 41, 185]: 支持计数=223
  [39, 41, 186]: 支持计数=118
  [39, 41, 201]: 支持计数=185
  [39, 41, 208]: 支持计数=165
  [39, 41, 225]: 支持计数=726
  [39, 41, 229]: 支持计数=149
  [39, 41, 237]: 支持计数=477
  [39, 41, 242]: 支持计数=98
  [39, 41, 246]: 支持计数=91
  [39, 41, 249]: 支持计数=209
  [39, 41, 251]: 支持计数=101
  [39, 41, 255]: 支持计数=274
  [39, 41, 258]: 支持计数=205
  [39, 41, 259]: 支持计数=109
  [39, 41, 260]: 支持计数=114
  [39, 41, 261]: 支持计数=100
  [39, 41, 264]: 支持计数=167
  [39, 41, 267]: 支持计数=112
  [39, 41, 269]: 支持计数=115
  [39, 41, 270]: 支持计数=399
  [39, 41, 271]: 支持计数=451
  [39, 41, 272]: 支持计数=111
  [39, 41, 279]: 支持计数=119
  [39, 41, 286]: 支持计数=208
  [39, 41, 297]: 支持计数=105
  [39, 41, 301]: 支持计数=194
  [39, 41, 310]: 支持计数=625
  [39, 41, 334]: 支持计数=105
  [39, 41, 338]: 支持计数=187
  [39, 41, 340]: 支持计数=123
  [39, 41, 352]: 支持计数=124
  [39, 41, 365]: 支持计数=106
  [39, 41, 370]: 支持计数=89
  [39, 41, 371]: 支持计数=137
  [39, 41, 374]: 支持计数=128
  [39, 41, 379]: 支持计数=104
  [39, 41, 384]: 支持计数=112
  [39, 41, 389]: 支持计数=155
  [39, 41, 396]: 支持计数=134
  [39, 41, 398]: 支持计数=91
  [39, 41, 405]: 支持计数=122
  [39, 41, 407]: 支持计数=118
  [39, 41, 413]: 支持计数=318
  [39, 41, 420]: 支持计数=95
  [39, 41, 425]: 支持计数=90
  [39, 41, 426]: 支持计数=102
  [39, 41, 432]: 支持计数=114
  [39, 41, 438]: 支持计数=365
  [39, 41, 449]: 支持计数=109
  [39, 41, 464]: 支持计数=142
  [39, 41, 475]: 支持计数=476
  [39, 41, 479]: 支持计数=154
  [39, 41, 488]: 支持计数=103
  [39, 41, 522]: 支持计数=168
  [39, 41, 533]: 支持计数=275
  [39, 41, 535]: 支持计数=130
  [39, 41, 544]: 支持计数=158
  [39, 41, 548]: 支持计数=182
  [39, 41, 549]: 支持计数=151
  [39, 41, 570]: 支持计数=173
  [39, 41, 571]: 支持计数=101
  [39, 41, 581]: 支持计数=90
  [39, 41, 589]: 支持计数=158
  [39, 41, 591]: 支持计数=90
  [39, 41, 592]: 支持计数=235
  [39, 41, 604]: 支持计数=236
  [39, 41, 623]: 支持计数=114
  [39, 41, 649]: 支持计数=145
  [39, 41, 664]: 支持计数=105
  [39, 41, 675]: 支持计数=105
  [39, 41, 677]: 支持计数=175
  [39, 41, 681]: 支持计数=120
  [39, 41, 703]: 支持计数=105
  [39, 41, 740]: 支持计数=163
  [39, 41, 766]: 支持计数=135
  [39, 41, 772]: 支持计数=113
  [39, 41, 783]: 支持计数=161
  [39, 41, 789]: 支持计数=158
  [39, 41, 790]: 支持计数=154
  [39, 41, 793]: 支持计数=95
  [39, 41, 798]: 支持计数=92
  [39, 41, 806]: 支持计数=136
  [39, 41, 808]: 支持计数=96
  [39, 41, 809]: 支持计数=105
  [39, 41, 812]: 支持计数=120
  [39, 41, 824]: 支持计数=238
  [39, 41, 846]: 支持计数=144
  [39, 41, 855]: 支持计数=117
  [39, 41, 878]: 支持计数=114
  [39, 41, 910]: 支持计数=94
  [39, 41, 913]: 支持计数=108
  [39, 41, 916]: 支持计数=106
  [39, 41, 947]: 支持计数=93
  [39, 41, 956]: 支持计数=170
  [39, 41, 961]: 支持计数=104
  [39, 41, 976]: 支持计数=137
  [39, 41, 979]: 支持计数=107
  [39, 41, 1004]: 支持计数=138
  [39, 41, 1067]: 支持计数=117
  [39, 41, 1121]: 支持计数=106
  [39, 41, 1135]: 支持计数=124
  [39, 41, 1144]: 支持计数=91
  [39, 41, 1146]: 支持计数=391
  [39, 41, 1198]: 支持计数=170
  [39, 41, 1239]: 支持计数=95
  [39, 41, 1327]: 支持计数=380
  [39, 41, 1344]: 支持计数=213
  [39, 41, 1355]: 支持计数=105
  [39, 41, 1393]: 支持计数=180
  [39, 41, 1435]: 支持计数=118
  [39, 41, 1543]: 支持计数=102
  [39, 41, 1578]: 支持计数=137
  [39, 41, 1600]: 支持计数=148
  [39, 41, 1659]: 支持计数=105
  [39, 41, 1714]: 支持计数=101
  [39, 41, 1715]: 支持计数=149
  [39, 41, 1783]: 支持计数=112
  [39, 41, 1814]: 支持计数=111
  [39, 41, 1859]: 支持计数=113
  [39, 41, 1872]: 支持计数=112
  [39, 41, 1986]: 支持计数=124
  [39, 41, 1987]: 支持计数=97
  [39, 41, 2046]: 支持计数=106
  [39, 41, 2135]: 支持计数=96
  [39, 41, 2168]: 支持计数=117
  [39, 41, 2184]: 支持计数=111
  [39, 41, 2199]: 支持计数=113
  [39, 41, 2208]: 支持计数=95
  [39, 41, 2238]: 支持计数=472
  [39, 41, 2284]: 支持计数=109
  [39, 41, 2383]: 支持计数=93
  [39, 41, 2437]: 支持计数=118
  [39, 41, 2673]: 支持计数=92
  [39, 41, 2958]: 支持计数=169
  [39, 41, 3270]: 支持计数=159
  [39, 41, 3616]: 支持计数=157
  [39, 41, 3904]: 支持计数=112
  [39, 41, 4336]: 支持计数=104
  [39, 41, 5729]: 支持计数=91
  [39, 41, 8978]: 支持计数=243
  [39, 41, 10444]: 支持计数=95
  [39, 41, 10446]: 支持计数=108
  [39, 41, 10515]: 支持计数=129
  [39, 41, 12925]: 支持计数=132
  [39, 41, 12929]: 支持计数=92
  [39, 41, 13041]: 支持计数=311
  [39, 41, 14098]: 支持计数=139
  [39, 41, 14933]: 支持计数=98
  [39, 41, 15578]: 支持计数=91
  [39, 41, 15618]: 支持计数=133
  [39, 41, 15832]: 支持计数=322
  [39, 41, 16010]: 支持计数=368
  [39, 41, 16011]: 支持计数=194
  [39, 41, 16217]: 支持计数=335
  [39, 45, 48]: 支持计数=361
  [39, 47, 48]: 支持计数=216
  [39, 48, 49]: 支持计数=617
  [39, 48, 50]: 支持计数=96
  [39, 48, 51]: 支持计数=106
  [39, 48, 52]: 支持计数=239
  [39, 48, 53]: 支持计数=253
  [39, 48, 55]: 支持计数=251
  [39, 48, 56]: 支持计数=226
  [39, 48, 60]: 支持计数=609
  [39, 48, 62]: 支持计数=198
  [39, 48, 64]: 支持计数=90
  [39, 48, 65]: 支持计数=1797
  [39, 48, 66]: 支持计数=112
  [39, 48, 68]: 支持计数=97
  [39, 48, 69]: 支持计数=117
  [39, 48, 75]: 支持计数=160
  [39, 48, 76]: 支持计数=345
  [39, 48, 77]: 支持计数=108
  [39, 48, 78]: 支持计数=610
  [39, 48, 79]: 支持计数=699
  [39, 48, 80]: 支持计数=208
  [39, 48, 82]: 支持计数=120
  [39, 48, 85]: 支持计数=93
  [39, 48, 89]: 支持计数=2125
  [39, 48, 94]: 支持计数=209
  [39, 48, 95]: 支持计数=126
  [39, 48, 96]: 支持计数=145
  [39, 48, 98]: 支持计数=89
  [39, 48, 101]: 支持计数=946
  [39, 48, 103]: 支持计数=321
  [39, 48, 104]: 支持计数=99
  [39, 48, 105]: 支持计数=291
  [39, 48, 107]: 支持计数=322
  [39, 48, 108]: 支持计数=97
  [39, 48, 110]: 支持计数=1037
  [39, 48, 116]: 支持计数=108
  [39, 48, 117]: 支持计数=378
  [39, 48, 123]: 支持计数=509
  [39, 48, 128]: 支持计数=104
  [39, 48, 133]: 支持计数=115
  [39, 48, 136]: 支持计数=219
  [39, 48, 141]: 支持计数=89
  [39, 48, 147]: 支持计数=742
  [39, 48, 150]: 支持计数=255
  [39, 48, 151]: 支持计数=93
  [39, 48, 155]: 支持计数=214
  [39, 48, 156]: 支持计数=377
  [39, 48, 161]: 支持计数=356
  [39, 48, 164]: 支持计数=138
  [39, 48, 165]: 支持计数=122
  [39, 48, 166]: 支持计数=131
  [39, 48, 167]: 支持计数=110
  [39, 48, 168]: 支持计数=152
  [39, 48, 169]: 支持计数=122
  [39, 48, 170]: 支持计数=1206
  [39, 48, 171]: 支持计数=110
  [39, 48, 175]: 支持计数=383
  [39, 48, 176]: 支持计数=144
  [39, 48, 178]: 支持计数=194
  [39, 48, 179]: 支持计数=452
  [39, 48, 185]: 支持计数=555
  [39, 48, 186]: 支持计数=305
  [39, 48, 189]: 支持计数=99
  [39, 48, 193]: 支持计数=102
  [39, 48, 195]: 支持计数=134
  [39, 48, 199]: 支持计数=93
  [39, 48, 200]: 支持计数=101
  [39, 48, 201]: 支持计数=451
  [39, 48, 203]: 支持计数=146
  [39, 48, 204]: 支持计数=135
  [39, 48, 205]: 支持计数=106
  [39, 48, 206]: 支持计数=105
  [39, 48, 208]: 支持计数=222
  [39, 48, 209]: 支持计数=207
  [39, 48, 213]: 支持计数=123
  [39, 48, 215]: 支持计数=158
  [39, 48, 220]: 支持计数=103
  [39, 48, 222]: 支持计数=92
  [39, 48, 225]: 支持计数=1400
  [39, 48, 229]: 支持计数=382
  [39, 48, 232]: 支持计数=131
  [39, 48, 234]: 支持计数=107
  [39, 48, 235]: 支持计数=143
  [39, 48, 237]: 支持计数=1244
  [39, 48, 242]: 支持计数=300
  [39, 48, 244]: 支持计数=90
  [39, 48, 246]: 支持计数=182
  [39, 48, 248]: 支持计数=200
  [39, 48, 249]: 支持计数=510
  [39, 48, 250]: 支持计数=118
  [39, 48, 251]: 支持计数=220
  [39, 48, 255]: 支持计数=813
  [39, 48, 256]: 支持计数=113
  [39, 48, 258]: 支持计数=452
  [39, 48, 259]: 支持计数=255
  [39, 48, 260]: 支持计数=271
  [39, 48, 261]: 支持计数=244
  [39, 48, 262]: 支持计数=130
  [39, 48, 264]: 支持计数=403
  [39, 48, 267]: 支持计数=292
  [39, 48, 269]: 支持计数=310
  [39, 48, 270]: 支持计数=733
  [39, 48, 271]: 支持计数=827
  [39, 48, 272]: 支持计数=283
  [39, 48, 278]: 支持计数=117
  [39, 48, 279]: 支持计数=279
  [39, 48, 281]: 支持计数=193
  [39, 48, 282]: 支持计数=121
  [39, 48, 285]: 支持计数=122
  [39, 48, 286]: 支持计数=464
  [39, 48, 289]: 支持计数=97
  [39, 48, 297]: 支持计数=242
  [39, 48, 301]: 支持计数=473
  [39, 48, 308]: 支持计数=108
  [39, 48, 309]: 支持计数=123
  [39, 48, 310]: 支持计数=1347
  [39, 48, 319]: 支持计数=194
  [39, 48, 320]: 支持计数=139
  [39, 48, 334]: 支持计数=333
  [39, 48, 338]: 支持计数=516
  [39, 48, 340]: 支持计数=281
  [39, 48, 341]: 支持计数=160
  [39, 48, 342]: 支持计数=134
  [39, 48, 344]: 支持计数=103
  [39, 48, 345]: 支持计数=212
  [39, 48, 346]: 支持计数=146
  [39, 48, 347]: 支持计数=120
  [39, 48, 350]: 支持计数=89
  [39, 48, 351]: 支持计数=129
  [39, 48, 352]: 支持计数=151
  [39, 48, 365]: 支持计数=197
  [39, 48, 370]: 支持计数=145
  [39, 48, 371]: 支持计数=295
  [39, 48, 374]: 支持计数=250
  [39, 48, 379]: 支持计数=253
  [39, 48, 384]: 支持计数=175
  [39, 48, 388]: 支持计数=102
  [39, 48, 389]: 支持计数=323
  [39, 48, 390]: 支持计数=165
  [39, 48, 392]: 支持计数=97
  [39, 48, 396]: 支持计数=278
  [39, 48, 397]: 支持计数=156
  [39, 48, 398]: 支持计数=224
  [39, 48, 399]: 支持计数=117
  [39, 48, 405]: 支持计数=340
  [39, 48, 406]: 支持计数=89
  [39, 48, 407]: 支持计数=304
  [39, 48, 408]: 支持计数=198
  [39, 48, 412]: 支持计数=141
  [39, 48, 413]: 支持计数=781
  [39, 48, 414]: 支持计数=111
  [39, 48, 415]: 支持计数=179
  [39, 48, 418]: 支持计数=200
  [39, 48, 420]: 支持计数=214
  [39, 48, 423]: 支持计数=111
  [39, 48, 424]: 支持计数=151
  [39, 48, 425]: 支持计数=299
  [39, 48, 426]: 支持计数=250
  [39, 48, 432]: 支持计数=190
  [39, 48, 433]: 支持计数=130
  [39, 48, 434]: 支持计数=96
  [39, 48, 438]: 支持计数=780
  [39, 48, 440]: 支持计数=97
  [39, 48, 441]: 支持计数=260
  [39, 48, 445]: 支持计数=97
  [39, 48, 447]: 支持计数=90
  [39, 48, 449]: 支持计数=239
  [39, 48, 464]: 支持计数=289
  [39, 48, 475]: 支持计数=1092
  [39, 48, 479]: 支持计数=358
  [39, 48, 486]: 支持计数=93
  [39, 48, 488]: 支持计数=287
  [39, 48, 489]: 支持计数=110
  [39, 48, 490]: 支持计数=193
  [39, 48, 491]: 支持计数=148
  [39, 48, 492]: 支持计数=111
  [39, 48, 493]: 支持计数=99
  [39, 48, 497]: 支持计数=127
  [39, 48, 511]: 支持计数=92
  [39, 48, 514]: 支持计数=201
  [39, 48, 522]: 支持计数=425
  [39, 48, 529]: 支持计数=114
  [39, 48, 533]: 支持计数=632
  [39, 48, 534]: 支持计数=147
  [39, 48, 535]: 支持计数=275
  [39, 48, 536]: 支持计数=110
  [39, 48, 543]: 支持计数=117
  [39, 48, 544]: 支持计数=348
  [39, 48, 547]: 支持计数=171
  [39, 48, 548]: 支持计数=467
  [39, 48, 549]: 支持计数=355
  [39, 48, 550]: 支持计数=102
  [39, 48, 552]: 支持计数=117
  [39, 48, 558]: 支持计数=91
  [39, 48, 563]: 支持计数=115
  [39, 48, 565]: 支持计数=112
  [39, 48, 570]: 支持计数=404
  [39, 48, 571]: 支持计数=240
  [39, 48, 573]: 支持计数=92
  [39, 48, 576]: 支持计数=118
  [39, 48, 581]: 支持计数=264
  [39, 48, 583]: 支持计数=108
  [39, 48, 587]: 支持计数=109
  [39, 48, 589]: 支持计数=443
  [39, 48, 591]: 支持计数=210
  [39, 48, 592]: 支持计数=515
  [39, 48, 597]: 支持计数=136
  [39, 48, 604]: 支持计数=520
  [39, 48, 610]: 支持计数=129
  [39, 48, 611]: 支持计数=115
  [39, 48, 612]: 支持计数=99
  [39, 48, 615]: 支持计数=98
  [39, 48, 622]: 支持计数=130
  [39, 48, 623]: 支持计数=213
  [39, 48, 639]: 支持计数=96
  [39, 48, 640]: 支持计数=169
  [39, 48, 643]: 支持计数=150
  [39, 48, 649]: 支持计数=350
  [39, 48, 650]: 支持计数=96
  [39, 48, 651]: 支持计数=98
  [39, 48, 652]: 支持计数=127
  [39, 48, 653]: 支持计数=124
  [39, 48, 662]: 支持计数=118
  [39, 48, 664]: 支持计数=296
  [39, 48, 673]: 支持计数=99
  [39, 48, 675]: 支持计数=291
  [39, 48, 677]: 支持计数=446
  [39, 48, 681]: 支持计数=275
  [39, 48, 682]: 支持计数=130
  [39, 48, 684]: 支持计数=119
  [39, 48, 694]: 支持计数=162
  [39, 48, 697]: 支持计数=132
  [39, 48, 703]: 支持计数=302
  [39, 48, 704]: 支持计数=191
  [39, 48, 706]: 支持计数=96
  [39, 48, 708]: 支持计数=114
  [39, 48, 711]: 支持计数=99
  [39, 48, 713]: 支持计数=102
  [39, 48, 715]: 支持计数=167
  [39, 48, 718]: 支持计数=134
  [39, 48, 727]: 支持计数=184
  [39, 48, 730]: 支持计数=167
  [39, 48, 734]: 支持计数=229
  [39, 48, 740]: 支持计数=392
  [39, 48, 751]: 支持计数=141
  [39, 48, 753]: 支持计数=107
  [39, 48, 757]: 支持计数=121
  [39, 48, 759]: 支持计数=114
  [39, 48, 760]: 支持计数=102
  [39, 48, 764]: 支持计数=132
  [39, 48, 766]: 支持计数=335
  [39, 48, 767]: 支持计数=122
  [39, 48, 768]: 支持计数=105
  [39, 48, 772]: 支持计数=275
  [39, 48, 783]: 支持计数=439
  [39, 48, 785]: 支持计数=140
  [39, 48, 789]: 支持计数=327
  [39, 48, 790]: 支持计数=239
  [39, 48, 793]: 支持计数=218
  [39, 48, 795]: 支持计数=108
  [39, 48, 798]: 支持计数=230
  [39, 48, 805]: 支持计数=136
  [39, 48, 806]: 支持计数=302
  [39, 48, 808]: 支持计数=181
  [39, 48, 809]: 支持计数=290
  [39, 48, 812]: 支持计数=310
  [39, 48, 817]: 支持计数=127
  [39, 48, 824]: 支持计数=471
  [39, 48, 828]: 支持计数=96
  [39, 48, 829]: 支持计数=148
  [39, 48, 830]: 支持计数=196
  [39, 48, 831]: 支持计数=237
  [39, 48, 837]: 支持计数=90
  [39, 48, 840]: 支持计数=147
  [39, 48, 842]: 支持计数=158
  [39, 48, 846]: 支持计数=197
  [39, 48, 849]: 支持计数=92
  [39, 48, 855]: 支持计数=228
  [39, 48, 856]: 支持计数=192
  [39, 48, 865]: 支持计数=272
  [39, 48, 878]: 支持计数=231
  [39, 48, 880]: 支持计数=97
  [39, 48, 885]: 支持计数=222
  [39, 48, 887]: 支持计数=108
  [39, 48, 896]: 支持计数=92
  [39, 48, 903]: 支持计数=151
  [39, 48, 907]: 支持计数=105
  [39, 48, 910]: 支持计数=222
  [39, 48, 911]: 支持计数=111
  [39, 48, 913]: 支持计数=232
  [39, 48, 916]: 支持计数=241
  [39, 48, 921]: 支持计数=127
  [39, 48, 924]: 支持计数=115
  [39, 48, 925]: 支持计数=120
  [39, 48, 926]: 支持计数=110
  [39, 48, 927]: 支持计数=124
  [39, 48, 932]: 支持计数=107
  [39, 48, 938]: 支持计数=107
  [39, 48, 939]: 支持计数=97
  [39, 48, 947]: 支持计数=207
  [39, 48, 956]: 支持计数=405
  [39, 48, 961]: 支持计数=240
  [39, 48, 974]: 支持计数=89
  [39, 48, 976]: 支持计数=325
  [39, 48, 978]: 支持计数=164
  [39, 48, 979]: 支持计数=222
  [39, 48, 984]: 支持计数=159
  [39, 48, 987]: 支持计数=118
  [39, 48, 989]: 支持计数=139
  [39, 48, 993]: 支持计数=140
  [39, 48, 1000]: 支持计数=164
  [39, 48, 1001]: 支持计数=124
  [39, 48, 1003]: 支持计数=182
  [39, 48, 1004]: 支持计数=381
  [39, 48, 1010]: 支持计数=126
  [39, 48, 1013]: 支持计数=111
  [39, 48, 1014]: 支持计数=115
  [39, 48, 1016]: 支持计数=103
  [39, 48, 1020]: 支持计数=190
  [39, 48, 1026]: 支持计数=109
  [39, 48, 1027]: 支持计数=165
  [39, 48, 1043]: 支持计数=229
  [39, 48, 1046]: 支持计数=119
  [39, 48, 1052]: 支持计数=152
  [39, 48, 1055]: 支持计数=90
  [39, 48, 1060]: 支持计数=114
  [39, 48, 1062]: 支持计数=168
  [39, 48, 1066]: 支持计数=169
  [39, 48, 1067]: 支持计数=251
  [39, 48, 1072]: 支持计数=109
  [39, 48, 1080]: 支持计数=119
  [39, 48, 1081]: 支持计数=142
  [39, 48, 1082]: 支持计数=124
  [39, 48, 1096]: 支持计数=105
  [39, 48, 1103]: 支持计数=189
  [39, 48, 1104]: 支持计数=119
  [39, 48, 1113]: 支持计数=171
  [39, 48, 1121]: 支持计数=168
  [39, 48, 1126]: 支持计数=165
  [39, 48, 1135]: 支持计数=386
  [39, 48, 1143]: 支持计数=102
  [39, 48, 1144]: 支持计数=234
  [39, 48, 1146]: 支持计数=623
  [39, 48, 1158]: 支持计数=154
  [39, 48, 1160]: 支持计数=109
  [39, 48, 1163]: 支持计数=108
  [39, 48, 1166]: 支持计数=96
  [39, 48, 1172]: 支持计数=128
  [39, 48, 1183]: 支持计数=108
  [39, 48, 1184]: 支持计数=94
  [39, 48, 1185]: 支持计数=144
  [39, 48, 1188]: 支持计数=107
  [39, 48, 1196]: 支持计数=132
  [39, 48, 1198]: 支持计数=277
  [39, 48, 1209]: 支持计数=162
  [39, 48, 1214]: 支持计数=137
  [39, 48, 1232]: 支持计数=104
  [39, 48, 1239]: 支持计数=239
  [39, 48, 1249]: 支持计数=112
  [39, 48, 1257]: 支持计数=193
  [39, 48, 1269]: 支持计数=130
  [39, 48, 1275]: 支持计数=94
  [39, 48, 1277]: 支持计数=166
  [39, 48, 1280]: 支持计数=125
  [39, 48, 1281]: 支持计数=121
  [39, 48, 1282]: 支持计数=133
  [39, 48, 1291]: 支持计数=108
  [39, 48, 1294]: 支持计数=124
  [39, 48, 1308]: 支持计数=131
  [39, 48, 1313]: 支持计数=179
  [39, 48, 1315]: 支持计数=94
  [39, 48, 1318]: 支持计数=107
  [39, 48, 1327]: 支持计数=720
  [39, 48, 1332]: 支持计数=95
  [39, 48, 1333]: 支持计数=117
  [39, 48, 1342]: 支持计数=96
  [39, 48, 1344]: 支持计数=314
  [39, 48, 1345]: 支持计数=104
  [39, 48, 1355]: 支持计数=194
  [39, 48, 1360]: 支持计数=124
  [39, 48, 1361]: 支持计数=149
  [39, 48, 1372]: 支持计数=108
  [39, 48, 1378]: 支持计数=108
  [39, 48, 1379]: 支持计数=116
  [39, 48, 1380]: 支持计数=94
  [39, 48, 1390]: 支持计数=89
  [39, 48, 1393]: 支持计数=507
  [39, 48, 1395]: 支持计数=97
  [39, 48, 1404]: 支持计数=202
  [39, 48, 1417]: 支持计数=217
  [39, 48, 1425]: 支持计数=122
  [39, 48, 1435]: 支持计数=307
  [39, 48, 1444]: 支持计数=142
  [39, 48, 1476]: 支持计数=103
  [39, 48, 1479]: 支持计数=197
  [39, 48, 1481]: 支持计数=188
  [39, 48, 1486]: 支持计数=181
  [39, 48, 1489]: 支持计数=115
  [39, 48, 1513]: 支持计数=196
  [39, 48, 1517]: 支持计数=103
  [39, 48, 1527]: 支持计数=117
  [39, 48, 1529]: 支持计数=108
  [39, 48, 1537]: 支持计数=98
  [39, 48, 1538]: 支持计数=113
  [39, 48, 1543]: 支持计数=189
  [39, 48, 1557]: 支持计数=166
  [39, 48, 1562]: 支持计数=122
  [39, 48, 1564]: 支持计数=101
  [39, 48, 1578]: 支持计数=350
  [39, 48, 1585]: 支持计数=191
  [39, 48, 1590]: 支持计数=90
  [39, 48, 1591]: 支持计数=116
  [39, 48, 1592]: 支持计数=96
  [39, 48, 1593]: 支持计数=117
  [39, 48, 1594]: 支持计数=95
  [39, 48, 1595]: 支持计数=99
  [39, 48, 1600]: 支持计数=307
  [39, 48, 1602]: 支持计数=128
  [39, 48, 1609]: 支持计数=96
  [39, 48, 1616]: 支持计数=111
  [39, 48, 1619]: 支持计数=174
  [39, 48, 1629]: 支持计数=110
  [39, 48, 1638]: 支持计数=164
  [39, 48, 1642]: 支持计数=102
  [39, 48, 1652]: 支持计数=109
  [39, 48, 1655]: 支持计数=139
  [39, 48, 1659]: 支持计数=194
  [39, 48, 1670]: 支持计数=89
  [39, 48, 1677]: 支持计数=211
  [39, 48, 1693]: 支持计数=232
  [39, 48, 1698]: 支持计数=140
  [39, 48, 1704]: 支持计数=180
  [39, 48, 1714]: 支持计数=193
  [39, 48, 1715]: 支持计数=235
  [39, 48, 1741]: 支持计数=107
  [39, 48, 1744]: 支持计数=98
  [39, 48, 1763]: 支持计数=113
  [39, 48, 1783]: 支持计数=240
  [39, 48, 1784]: 支持计数=110
  [39, 48, 1786]: 支持计数=150
  [39, 48, 1789]: 支持计数=99
  [39, 48, 1804]: 支持计数=113
  [39, 48, 1808]: 支持计数=133
  [39, 48, 1814]: 支持计数=344
  [39, 48, 1818]: 支持计数=105
  [39, 48, 1819]: 支持计数=112
  [39, 48, 1842]: 支持计数=146
  [39, 48, 1859]: 支持计数=134
  [39, 48, 1867]: 支持计数=187
  [39, 48, 1872]: 支持计数=213
  [39, 48, 1899]: 支持计数=111
  [39, 48, 1903]: 支持计数=108
  [39, 48, 1905]: 支持计数=102
  [39, 48, 1930]: 支持计数=148
  [39, 48, 1938]: 支持计数=97
  [39, 48, 1939]: 支持计数=121
  [39, 48, 1956]: 支持计数=161
  [39, 48, 1964]: 支持计数=100
  [39, 48, 1966]: 支持计数=117
  [39, 48, 1971]: 支持计数=89
  [39, 48, 1973]: 支持计数=141
  [39, 48, 1976]: 支持计数=129
  [39, 48, 1986]: 支持计数=264
  [39, 48, 1987]: 支持计数=217
  [39, 48, 1991]: 支持计数=97
  [39, 48, 1994]: 支持计数=111
  [39, 48, 1996]: 支持计数=128
  [39, 48, 2011]: 支持计数=116
  [39, 48, 2015]: 支持计数=178
  [39, 48, 2046]: 支持计数=217
  [39, 48, 2051]: 支持计数=222
  [39, 48, 2052]: 支持计数=89
  [39, 48, 2053]: 支持计数=122
  [39, 48, 2054]: 支持计数=129
  [39, 48, 2056]: 支持计数=180
  [39, 48, 2065]: 支持计数=152
  [39, 48, 2075]: 支持计数=137
  [39, 48, 2080]: 支持计数=187
  [39, 48, 2091]: 支持计数=141
  [39, 48, 2097]: 支持计数=92
